Rule Name,Category,Category II,Category III,Payer,State,Last Reviewed,Date Updated,Description of Billing Rule (See Conditions tab for alert message),Description,NOTES/Resources,,,,,,,,,,,,,,,,,,,,,,,,
E&M21,Female Genital System,Evaluation and Management Services,Coding,,,3/15/23,3/15/23,"If an E&M is performed on the same date of service as a major surgical procedure for the purpose of deciding whether to perform this surgical procedure, the E&M service is separately reportable with modifier 57. Other preoperative E&M services on the same date of service as a major surgical procedure are included in the global payment for the procedure, and are not separately reportable. Review documentation and payer guidelines to determine if modifier 57 if appropriate.",,https://www.cms.gov/apps/physician-fee-schedule/search/search-results.aspx?Y=0&T=4&HT=2&CT=0&H1=30000&H2=39999&M=1,,,,,,,,,,,,,,,,,,,,,,,,
E&M22,Maternity Care and Delivery,Evaluation and Management Services,Coding,,,3/15/23,,"E&M services performed on the same date of service as a minor surgical procedure is included in the payment for the minor surgical procedure, and shall not be reported separately as an E&M service. However, a significant and separately identifiable E&M service unrelated to the decision to perform the minor surgical procedure is separately reportable with modifier 25. Review documentation and payer guidelines to determine if modifier 25 is appropriate.",,https://www.cms.gov/apps/physician-fee-schedule/search/search-results.aspx?Y=0&T=4&HT=2&CT=0&H1=30000&H2=39999&M=1,,,,,,,,,,,,,,,,,,,,,,,,
E&M23,Maternity Care and Delivery,Evaluation and Management Services,Coding,,,3/15/23,3/15/23,"If an E&M is performed on the same date of service as a major surgical procedure for the purpose of deciding whether to perform this surgical procedure, the E&M service is separately reportable with modifier 57. Other preoperative E&M services on the same date of service as a major surgical procedure are included in the global payment for the procedure, and are not separately reportable. Review documentation and payer guidelines to determine if modifier 57 if appropriate.",,https://www.cms.gov/apps/physician-fee-schedule/search/search-results.aspx?Y=0&T=4&HT=2&CT=0&H1=30000&H2=39999&M=1,,,,,,,,,,,,,,,,,,,,,,,,
E&M24,Endocrine System,Evaluation and Management Services,Coding,,,3/15/23,,"E&M services performed on the same date of service as a minor surgical procedure is included in the payment for the minor surgical procedure, and shall not be reported separately as an E&M service. However, a significant and separately identifiable E&M service unrelated to the decision to perform the minor surgical procedure is separately reportable with modifier 25. Review documentation and payer guidelines to determine if modifier 25 is appropriate.",,https://www.cms.gov/apps/physician-fee-schedule/search/search-results.aspx?Y=0&T=4&HT=2&CT=0&H1=30000&H2=39999&M=1,,,,,,,,,,,,,,,,,,,,,,,,
E&M25,Endocrine System,Evaluation and Management Services,Coding,,,3/15/23,,"If an E&M is performed on the same date of service as a major surgical procedure for the purpose of deciding whether to perform this surgical procedure, the E&M service is separately reportable with modifier 57. Other preoperative E&M services on the same date of service as a major surgical procedure are included in the global payment for the procedure, and are not separately reportable. Review documentation and payer guidelines to determine if modifier 57 if appropriate.",,https://www.cms.gov/apps/physician-fee-schedule/search/search-results.aspx?Y=0&T=4&HT=2&CT=0&H1=30000&H2=39999&M=1,,,,,,,,,,,,,,,,,,,,,,,,
E&M26,Nervous System,Evaluation and Management Services,Coding,,,3/15/23,3/15/23,"E&M services performed on the same date of service as a minor surgical procedure is included in the payment for the minor surgical procedure, and shall not be reported separately as an E&M service. However, a significant and separately identifiable E&M service unrelated to the decision to perform the minor surgical procedure is separately reportable with modifier 25. Review documentation and payer guidelines to determine if modifier 25 is appropriate.",,https://www.cms.gov/apps/physician-fee-schedule/search/search-results.aspx?Y=0&T=4&HT=2&CT=0&H1=30000&H2=39999&M=1,,,,,,,,,,,,,,,,,,,,,,,,
E&M27,Nervous System,Evaluation and Management Services,Coding,,,3/15/23,3/15/23,"If an E&M is performed on the same date of service as a major surgical procedure for the purpose of deciding whether to perform this surgical procedure, the E&M service is separately reportable with modifier 57. Other preoperative E&M services on the same date of service as a major surgical procedure are included in the global payment for the procedure, and are not separately reportable. Review documentation and payer guidelines to determine if modifier 57 if appropriate.",,https://www.cms.gov/apps/physician-fee-schedule/search/search-results.aspx?Y=0&T=4&HT=2&CT=0&H1=30000&H2=39999&M=1,,,,,,,,,,,,,,,,,,,,,,,,
E&M28,Auditory System,Evaluation and Management Services,Coding,,,3/15/23,3/15/23,"E&M services performed on the same date of service as a minor surgical procedure is included in the payment for the minor surgical procedure, and shall not be reported separately as an E&M service. However, a significant and separately identifiable E&M service unrelated to the decision to perform the minor surgical procedure is separately reportable with modifier 25. Review documentation and payer guidelines to determine if modifier 25 is appropriate.",,https://www.cms.gov/apps/physician-fee-schedule/search/search-results.aspx?Y=0&T=4&HT=2&CT=0&H1=30000&H2=39999&M=1,,,,,,,,,,,,,,,,,,,,,,,,
E&M29,Auditory System,Evaluation and Management Services,Coding,,,3/15/23,3/15/23,"If an E&M is performed on the same date of service as a major surgical procedure for the purpose of deciding whether to perform this surgical procedure, the E&M service is separately reportable with modifier 57. Other preoperative E&M services on the same date of service as a major surgical procedure are included in the global payment for the procedure, and are not separately reportable. Review documentation and payer guidelines to determine if modifier 57 if appropriate.",,https://www.cms.gov/apps/physician-fee-schedule/search/search-results.aspx?Y=0&T=4&HT=2&CT=0&H1=30000&H2=39999&M=1,,,,,,,,,,,,,,,,,,,,,,,,
E&M3,Integumentary,Evaluation and Management Services,Coding,,,3/15/23,3/15/23,"E&M services performed on the same date of service as a minor surgical procedure is included in the payment for the minor surgical procedure, and shall not be reported separately as an E&M service. However, a significant and separately identifiable E&M service unrelated to the decision to perform the minor surgical procedure is separately reportable with modifier 25. Review documentation and payer guidelines to determine if modifier 25 is appropriate.",,https://www.cms.gov/apps/physician-fee-schedule/search/search-results.aspx?Y=0&T=4&HT=2&CT=0&H1=30000&H2=39999&M=1,,,,,,,,,,,,,,,,,,,,,,,,
E&M30,Medicine Services and Procedures,Evaluation and Management Services,Coding,,,3/15/23,3/15/23,"E&M services performed on the same date of service as a minor surgical procedure is included in the payment for the minor surgical procedure, and shall not be reported separately as an E&M service. However, a significant and separately identifiable E&M service unrelated to the decision to perform the minor surgical procedure is separately reportable with modifier 25. Review documentation and payer guidelines to determine if modifier 25 is appropriate.",,https://www.cms.gov/apps/physician-fee-schedule/search/search-results.aspx?Y=0&T=4&HT=2&CT=0&H1=30000&H2=39999&M=1,,,,,,,,,,,,,,,,,,,,,,,,
E&M31,Medicine Services and Procedures,Evaluation and Management Services,Coding,,,3/15/23,,"If an E&M is performed on the same date of service as a major surgical procedure for the purpose of deciding whether to perform this surgical procedure, the E&M service is separately reportable with modifier 57. Other preoperative E&M services on the same date of service as a major surgical procedure are included in the global payment for the procedure, and are not separately reportable. Review documentation and payer guidelines to determine if modifier 57 if appropriate.",,https://www.cms.gov/apps/physician-fee-schedule/search/search-results.aspx?Y=0&T=4&HT=2&CT=0&H1=30000&H2=39999&M=1,,,,,,,,,,,,,,,,,,,,,,,,
E&M32,Evaluation & Management Services,Hospital Inpatient Services,Coding,,,3/15/23,3/15/23,Inpatient CPT codes should be billed with an inpatient place of service. Review place of service versus inpatient CPT code(s). ,"99221-99223, 99231-99233 Improper place of service  ",,,,,,,,,,,,,,,,,,,,,,,,,
E&M33,Evaluation & Management Services,Nursing Facility Services,Coding,,,,3/10/23,"99304-99310, 99315-99316 should be billed with place of service 31, 32, 54 or 56 - Review place of service versus CPT codes.","99304-99310, 99315-99318 - Improper place of service",,,,,,,,,,,,,,,,,,,,,,,,,
E&M34,Evaluation & Management Services,"Domiciliary, Rest Home (eg, Boarding Home) or Custodial Care Services",Coding,,,,3/10/23,"99324-99328 and 99334-99337 should be billed with place of service 13, 14, 33 or 55. Review place of service versus CPT codes. For DOS before 1/1/2023.","99324-99328, 99334-99337 - Improper place of service",,,,,,,,,,,,,,,,,,,,,,,,,
E&M35,Evaluation & Management Services,"Domiciliary, Rest Home (eg, Assisted Living Facility) or Home Care Plan Oversight",Coding,,,3/10/23,3/10/23,"99341-99350 should be billed with place of service 12,13,14,16,33 or 55 - Review place of service versus CPT codes.",99341-99350 - Improper place of service,,,,,,,,,,,,,,,,,,,,,,,,,
E&M36,Evaluation & Management Services,Consultation Services,Payer,,,4/10/23,4/10/23,Referring provider is not present for the consultation code.  Add referring provider.,,,,,,,,,,,,,,,,,,,,,,,,,,
E&M37,Evaluation & Management Services,Outpatient Services,Coding,,,3/14/23,3/14/23,"Review CPT vs place of service. Observation Care (99217-99220, 99224-99226) may not be appropriate to bill in this place of service.",,,,,,,,,,,,,,,,,,,,,,,,,,
E&M38,Evaluation & Management Services,Observation Services,Coding,,,3/14/23,,99234-99236 should be billed with an outpatient or inpatient place of service.,,,,,,,,,,,,,,,,,,,,,,,,,,
E&M39,Evaluation & Management Services,(99495-99496) Transitional Care Evaluation and Management Services,Coding,,,3/14/23,,99498 is an add-on code. Use 99498 in conjunction with 99497.,,,,,,,,,,,,,,,,,,,,,,,,,,
E&M4,Integumentary,Evaluation and Management Services,Coding,,,4/10/23,4/10/23,"If an E&M is performed on the same date of service as a major surgical procedure for the purpose of deciding whether to perform this surgical procedure, the E&M service is separately reportable with modifier 57. Other preoperative E&M services on the same date of service as a major surgical procedure are included in the global payment for the procedure, and are not separately reportable. Review documentation and payer guidelines to determine if modifier 57 if appropriate.",,https://www.cms.gov/apps/physician-fee-schedule/search/search-results.aspx?Y=0&T=4&HT=2&CT=0&H1=30000&H2=39999&M=1,,,,,,,,,,,,,,,,,,,,,,,,
E&M40,Evaluation & Management Services,"CCI Edit 99211, 36415",Coding,,,4/10/23,,"Per CCI guidelines, 99211 has an unbundle relationship with 36415. Review documentation to determine if a modifier override is appropriate.",,,,,,,,,,,,,,,,,,,,,,,,,,
E&M41,Evaluation & Management Services,"CCI Edit 99211, 96372",Coding,,,4/10/23,,99211 cannot be billed with 96372.,"99211, 96372 Coding Alert",,,,,,,,,,,,,,,,,,,,,,,,,
E&M42,Evaluation & Management Services,Newborn Care Services (99460-99463),Coding,,,4/10/23,4/10/23,"99460,99462,99463 should be billed with POS 21, 22 or 25. Review place of service versus CPT code(s). ",,,,,,,,,,,,,,,,,,,,,,,,,,
E&M43,Evaluation & Management,Global Modifiers,Coding,,,4/10/23,4/10/23,24 modifier should only be used on E/M codes,,,,,,,,,,,,,,,,,,,,,,,,,,
E&M44,Evaluation & Management,"(99406-99409) Behavior Change Interventions, Individual Services",Payer,,,4/10/23,,"99408, 99409 is not covered by Medicare as of 10/01/2020.  See G2011, G0396, or G0397 for Alcohol and/or substance (other than tobacco) abuse structured assessment (e.g., audit, dast), and brief intervention.",https://www.cms.gov/Outreach-and-Education/Medicare-Learning-Network-MLN/MLNProducts/downloads/sbirt_factsheet_icn904084.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
E&M45,Evaluation & Management,(99291-99292) Critical Care Services,Coding,,,12/28/20,,"99292 is an add-on code that must be billed in addition to 99291. Code first 99291(Critical care, evaluation and management of the critically ill or critically injured patient; first 30-74 minutes)",,,,,,,,,,,,,,,,,,,,,,,,,,
E&M46,Evaluation & Management,(99354-99360) Prolonged Services,Coding,,,3/14/23,3/14/23,"Prolonged services (99354-99355) is missing the primary procedure code (99202-99205, 99212-99215).",,,,,,,,,,,,,,,,,,,,,,,,,,
E&M47,Evaluation & Management,99202-99215,Coding,,,5/17/21,,Review CPT vs place of service.  Office or other outpatient visit  (99202-99215) should be billed with an outpatient place of service.,,,,,,,,,,,,,,,,,,,,,,,,,,
E&M48,Evaluation & Management,99234-99236,Coding,,,3/14/23,3/14/23,"99234-99236 - Observation or inpatient hospital care, for the evaluation and management of a patient including admission and discharge on the same date.  Review coding, admission and discharge codes cannot be billed with 99234-99236.",,,,,,,,,,,,,,,,,,,,,,,,,,
E&M49,Evaluation & Management,,,,,9/18/23,9/18/23,Modifier 25 may be needed on E/M when billed with vaccine admin code,,,,,,,,,,,,,,,,,,,,,,,,,,
E&M5,Respiratory System,Evaluation and Management Services,Coding,,,8/18/20,,"E&M services performed on the same date of service as a minor surgical procedure is included in the payment for the minor surgical procedure, and shall not be reported separately as an E&M service. However, a significant and separately identifiable E&M service unrelated to the decision to perform the minor surgical procedure is separately reportable with modifier 25. Review documentation and payer guidelines to determine if modifier 25 is appropriate.",,https://www.cms.gov/apps/physician-fee-schedule/search/search-results.aspx?Y=0&T=4&HT=2&CT=0&H1=30000&H2=39999&M=1,,,,,,,,,,,,,,,,,,,,,,,,
E&M51,G0425-G0427,,Coding,,,9/7/21,,"Review CPT vs place of service. Telehealth consultation, emergency department or initial inpatient  (G0425-G0427) should be billed with an inpatient, emergency department, or telehealth place of service.",,,,,,,,,,,,,,,,,,,,,,,,,,
E&M52,Emergency Department Visits,,Coding,,,9/7/21,,"Review CPT vs place of service. Telehealth consultation, emergency department or initial inpatient  (G0425-G0427) should be billed with an inpatient, emergency department, or telehealth place of service.",,,,,,,,,,,,,,,,,,,,,,,,,,
E&M53,Evaluation & Management Services,99211,Payer,"Cigna, Anthem, BCBS",,7/10/23,7/10/23,"Cigna and Anthem, BCBS will deny reimbursement for E&M services billed with CPT code 99211 appended with modifier 25 when billed alone or with another procedure code on the same date of service.",,"https://static.cigna.com/assets/chcp/resourceLibrary/coveragePolicies/policyUpdates/coveragePoliciesLatestUpdatesMarch2020.html
https://www.anthem.com/docs/public/inline/C-10001-ABCBS.pdf",,,,,,,,,,,,,,,,,,,,,,,,
E&M54,Evaluation & Management,,,,,4/3/23,,99218-99220 are expired codes. See CPT 99221-99223.,,,,,,,,,,,,,,,,,,,,,,,,,,
E&M55,Evaluation & Management,,,,,4/3/23,,99217 is an expired code. See CPT 99238-99239.,,,,,,,,,,,,,,,,,,,,,,,,,,
E&M56,Evaluation & Management,,,,,4/3/23,,99224-99226 are expired codes. See CPT 99231-99233.,,,,,,,,,,,,,,,,,,,,,,,,,,
E&M57,Evaluation & Management,,,,,4/3/23,,99241 is an expired code. See CPT 99242.,,,,,,,,,,,,,,,,,,,,,,,,,,
E&M58,Evaluation & Management,,,,,4/3/23,,99251 is an expired code. See CPT 99252.,,,,,,,,,,,,,,,,,,,,,,,,,,
E&M59,Evaluation & Management,,,,,4/3/23,,99324-99328 are expired codes. See CPT 99341-99345.,,,,,,,,,,,,,,,,,,,,,,,,,,
E&M60,Evaluation & Management,,,,,4/3/23,,99318 is an expired code. See CPT 99307-99310.,,,,,,,,,,,,,,,,,,,,,,,,,,
E&M61,Evaluation & Management,,,,,4/3/23,,"99339/99340 are expired codes. See CPT 99437,99491,99424,99425.",,,,,,,,,,,,,,,,,,,,,,,,,,
E&M62,Evaluation & Management,,,,,4/3/23,,99343 is an expired code. See CPT 99341-99345.,,,,,,,,,,,,,,,,,,,,,,,,,,
E&M63,Evaluation & Management,,,,,4/3/23,,99354/99355 are expired codes. See CPT 99417,,,,,,,,,,,,,,,,,,,,,,,,,,
E&M64,Evaluation & Management,,,,,4/3/23,,99356/99357 are expired codes. See CPT 99418.,,,,,,,,,,,,,,,,,,,,,,,,,,
E&M65,Evaluation & Management,,,,,4/3/23,,99334-99337 are expired codes. See 99347-99350.,,,,,,,,,,,,,,,,,,,,,,,,,,
E&M6,Respiratory System,Evaluation and Management Services,Coding,,,8/18/20,,"If an E&M is performed on the same date of service as a major surgical procedure for the purpose of deciding whether to perform this surgical procedure, the E&M service is separately reportable with modifier 57. Other preoperative E&M services on the same date of service as a major surgical procedure are included in the global payment for the procedure, and are not separately reportable. Review documentation and payer guidelines to determine if modifier 57 if appropriate.",,https://www.cms.gov/apps/physician-fee-schedule/search/search-results.aspx?Y=0&T=4&HT=2&CT=0&H1=30000&H2=39999&M=1,,,,,,,,,,,,,,,,,,,,,,,,
E&M7,Cardiovascular System,Evaluation and Management Services,Coding,,,8/18/20,,"E&M services performed on the same date of service as a minor surgical procedure is included in the payment for the minor surgical procedure, and shall not be reported separately as an E&M service. However, a significant and separately identifiable E&M service unrelated to the decision to perform the minor surgical procedure is separately reportable with modifier 25. Review documentation and payer guidelines to determine if modifier 25 is appropriate.",,https://www.cms.gov/apps/physician-fee-schedule/search/search-results.aspx?Y=0&T=4&HT=2&CT=0&H1=30000&H2=39999&M=1,,,,,,,,,,,,,,,,,,,,,,,,
E&M8,Cardiovascular System,Evaluation and Management Services,Coding,,,8/18/20,,"If an E&M is performed on the same date of service as a major surgical procedure for the purpose of deciding whether to perform this surgical procedure, the E&M service is separately reportable with modifier 57. Other preoperative E&M services on the same date of service as a major surgical procedure are included in the global payment for the procedure, and are not separately reportable. Review documentation and payer guidelines to determine if modifier 57 if appropriate.",,https://www.cms.gov/apps/physician-fee-schedule/search/search-results.aspx?Y=0&T=4&HT=2&CT=0&H1=30000&H2=39999&M=1,,,,,,,,,,,,,,,,,,,,,,,,
E&M9,Hemic and Lymphatic Systems,Evaluation and Management Services,Coding,,,8/18/20,,"E&M services performed on the same date of service as a minor surgical procedure is included in the payment for the minor surgical procedure, and shall not be reported separately as an E&M service. However, a significant and separately identifiable E&M service unrelated to the decision to perform the minor surgical procedure is separately reportable with modifier 25. Review documentation and payer guidelines to determine if modifier 25 is appropriate.",,https://www.cms.gov/apps/physician-fee-schedule/search/search-results.aspx?Y=0&T=4&HT=2&CT=0&H1=30000&H2=39999&M=1,,,,,,,,,,,,,,,,,,,,,,,,
FERTL1,Fertility,,Coding,,,,,"89280, 89281 should not be reported on the same encounter","89280, 89281 Coding Alert",,,,,,,,,,,,,,,,,,,,,,,,,
FERTL2,Fertility,,Coding,,,4/3/23,,"76831 includes all ultrasound imaging performed during the hysterosonography procedure. It is not appropriate to separately report transvaginal or pelvic ultrasound (76830, 76856, 76857) performed as an inherent part of the hysterosonogram. If a diagnostic ultrasound is performed as a separate procedure prior to hysterosonography, report the applicable code with modifier -59 appended.",SIS with ultrasound,,,,,,,,,,,,,,,,,,,,,,,,,
FERTL3,Fertility,,Coding,,,,,Code 89331 cannot apply to female patients.,89331 Female,,,,,,,,,,,,,,,,,,,,,,,,,
FERTL4,Fertility,,Coding,,,,,Code 89320 cannot apply to female patients.,89320 Female,,,,,,,,,,,,,,,,,,,,,,,,,
FOOT1,Podiatry,,Payer,Medicare,Arizona,,,"As necessary, add PCP and Last Seen date, Q modifier, and review list of ICD-10 codes that support Medical Necessity.",Routine Footcare,,,,,,,,,,,,,,,,,,,,,,,,,
FOOT2,Podiatry,,Payer,Medicare,Arizona,,,"In the absence of a systemic condition, claims for DEBRIDEMENT OF MYCOTIC NAILS must report the primary diagnosis of dermatophytosis, and also report one of the diagnosis codes which indicates secondary infection or pain. A diagnosis of mycotic nails alone is insufficient for payment.",Debridement of Mycotic Nails,,,,,,,,,,,,,,,,,,,,,,,,,
FOOT3,Podiatry,,Payer,Medicare,Arizona,,,"Modifier Q7, Q8, or Q9 must be reported with codes 11055, 11056, 11057, 11719, G0127, and with codes 11720 and 11721 when the coverage is based on the presence of a qualifying systemic condition, to indicate the class findings and site.",Q Modifiers,,,,,,,,,,,,,,,,,,,,,,,,,
FOOT4,Podiatry,,Coding,,,,,"Toe or Finger Modifier required for CPT codes 11730,11732,11740,11750,11755,11760,11762 and 11765",Code requires Toe/Finger Modifier required,,,,,,,,,,,,,,,,,,,,,,,,,
FQHC1,FQHC,,Payer,Medicare,,,,An FQHC qualifying visit is present on the encounter. Payment code G0466 (FQHC new patient) may apply.,,,,,,,,,,,,,,,,,,,,,,,,,,
FQHC10,FQHC,,Payer,Medicare Advantage,,,,"G0466, G0467, G0468 should be billed on a UB-04 with revenue code 0521.",,,,,,,,,,,,,,,,,,,,,,,,,,
FQHC11,FQHC,,Payer,Medicare,,,,"G0469, G0470 should be billed to Medicare Part A on a UB-04 with revenue code 0900.",,,,,,,,,,,,,,,,,,,,,,,,,,
FQHC12,FQHC,,Payer,Medicare Advantage,,,,"G0469, G0470 should be billed on a UB-04 with revenue code 0900.",,,,,,,,,,,,,,,,,,,,,,,,,,
FQHC13,FQHC,,Coding,,,,,An FQHC qualifying visit for G0466 is not present.  Review coding.,,,,,,,,,,,,,,,,,,,,,,,,,,
FQHC14,FQHC,,Coding,,,,,An FQHC  qualifying visit for G0467 is not present. Review coding.,,,,,,,,,,,,,,,,,,,,,,,,,,
FQHC15,FQHC,,Coding,,,,,An FQHC qualifying visit for G0468 is not present. Review coding.,,,,,,,,,,,,,,,,,,,,,,,,,,
FQHC16,FQHC,,Coding,,,,,"An FQHC qualifying visit for G0469, G0470 is not present. Review coding.",,,,,,,,,,,,,,,,,,,,,,,,,,
FQHC17,FQHC,,Payer,Medicare,,4/3/23,,Labs are billed on CMS-1500 claim form to Medicare Part B.,,,,,,,,,,,,,,,,,,,,,,,,,,
FQHC18,FQHC,,Payer,Medicare,,4/3/23,,93000 is not billed in an FQHC - Split claim for the technical (93005) and professional component (93010).,,,,,,,,,,,,,,,,,,,,,,,,,,
FQHC19,FQHC,,Payer,Medicare,,4/3/23,,93005 - The technical portion of the ECG is billed on CMS-1500 claim form to Medicare Part B.,,,,,,,,,,,,,,,,,,,,,,,,,,
FQHC2,FQHC,,Payer,Medicare Advantage,,,,An FQHC qualifying visit is present on the encounter. Payment code G0466 (FQHC new patient) may apply.,,,,,,,,,,,,,,,,,,,,,,,,,,
FQHC20,FQHC,,Payer,Medicare,,,,93010 - The professional component of the ECG is billed with a qualifying visit on UB-04 claim form to Medicare Part A with revenue code 0730.,,,,,,,,,,,,,,,,,,,,,,,,,,
FQHC21,FQHC,,Payer,Wellcare Medicaid,Georgia,,,Place of Service codes 11 (Office) or 99 (Other Place of service) are not accepted when rendering service in a FQHC.,,https://www.wellcare.com/~/media/PDFs/Georgia/Provider/GA_FQHC_RHC_PPS_BillingGuide.ashx,,,,,,,,,,,,,,,,,,,,,,,,
FQHC22,FQHC,,Payer,Medicare,,,,"FQHC Claims for Telehealth Services from January 27, 2020 through June 30, 2020, bill G2025 in addition to payment code and qualifying CPT codes. 95 modifiers is optional, but not required.",,https://www.cms.gov/files/document/se20016.pdf,,,,,,,,,,,,,,,,,,,,,,,,
FQHC23,FQHC,,Payer,Medicare,,3/16/23,4/3/23,Use G0071 for virtual communication services (HCPCS codes G2012 and G2010). Do not use CG modifier.,https://www.cms.gov/Center/Provider-Type/Federally-Qualified-Health-Centers-FQHC-Center,,,,,,,,,,,,,,,,,,,,,,,,,
FQHC24,Vaccine,COVID-19,Payer,Medicare,,9/20/23,9/20/23,Report vaccine and administration on claim informationally.,,,,,,,,,,,,,,,,,,,,,,,,,,
FQHC25,Behavioral Telehealth Visit,,Payer,Medicare,,3/16/23,3/16/23,Visit should be billed with Rev Code 0900 with modifier 95 (audio and video) or FQ (audio only),,,,,,,,,,,,,,,,,,,,,,,,,,
FQHC26,FQHC/New pt visits,,,Medicare,,4/3/23,4/3/23,Only 1 New patient visit is allowed. Use G0466 to bill for the medical visit and G0470 to bill for the mental health visit.,https://www.cms.gov/Medicare/Medicare-Fee-for-Service-Payment/FQHCPPS/Downloads/FQHC-PPS-Specific-Payment-Codes.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
FQHC3,FQHC,,Payer,Medicare,,4/3/23,,An FQHC qualifying visit is present on the encounter. Payment code G0467 (FQHC established patient) may apply.,,,,,,,,,,,,,,,,,,,,,,,,,,
FQHC4,FQHC,,Payer,Medicare Advantage,,4/3/23,,An FQHC qualifying visit is present on the encounter. Payment code G0467 (FQHC established patient) may apply.,,,,,,,,,,,,,,,,,,,,,,,,,,
FQHC5,FQHC,,Payer,Medicare,,4/3/23,,An FQHC qualifying visit is present on the encounter. Payment code G0468 (FQHC IPPE or AWV) may apply.,,,,,,,,,,,,,,,,,,,,,,,,,,
FQHC6,FQHC,,Payer,Medicare Advantage,,4/3/23,,An FQHC qualifying visit is present on the encounter. Payment code G0468 (FQHC IPPE or AWV) may apply.,,,,,,,,,,,,,,,,,,,,,,,,,,
FQHC7,FQHC,,Payer,Medicare,,4/3/23,,"An FQHC qualifying visit is present on the encounter. Payment code G0469 (FQHC mental health, new patient) or G0470 (FQHC mental health, established patient)may apply.",,,,,,,,,,,,,,,,,,,,,,,,,,
FQHC8,FQHC,,Payer,Medicare Advantage,,4/3/23,,"An FQHC qualifying visit is present on the encounter. Payment code G0469 (FQHC mental health, new patient) or G0470 (FQHC mental health, established patient)may apply.",,,,,,,,,,,,,,,,,,,,,,,,,,
FQHC9,FQHC,,Payer,Medicare,,,,"G0466, G0467, G0468 should be billed to Medicare Part A on a UB-04 with revenue code 0521.",,,,,,,,,,,,,,,,,,,,,,,,,,
GABCBS1,Labs,,Payer,BCBS,Georgia,4/6/23,4/6/2023,Providers who have obtained a CLIA Waiver or Provider Performed Microscopy Procedure accreditation must include the “QW” modifier when any CLIA Waived laboratory service is reported on a CMS-1500 claim form in order for the procedure to be evaluated to determine eligibility for benefit coverage.,,,,,,,,,,,,,,,,,,,,,,,,,,
GABCBS2,NDC,,Payer,BCBS,Georgia,5/16/22,,BCBS of GA/Anthem requires NDC info on claim ,,https://providernews.anthem.com/georgia/article/national-drug-code-requirement-on-outpatient-claims,,,,,,,,,,,,,,,,,,,,,,,,
GAMCD1,Universal,,Payer,Medicaid,Georgia,4/3/23,,Medicaid may require authorization after patient has exceeded 10 visits,Medicaid Authorization,,,,,,,,,,,,,,,,,,,,,,,,,
GAMCD10,Preventive,,Payer,Medicaid/Medicaid CMO,Georgia,9/28/21,,25 modifier must be included when a vaccine is administered during the preventive visit. ,,https://www.mmis.georgia.gov/portal/Portals/0/StaticContent/Public/ALL/HANDBOOKS/EPSDT%20Services%20Health%20Check%20Program%20Manual%2020190401134006.pdf,,,,,,,,,,,,,,,,,,,,,,,,
GAMCD11,Preventive,,Payer,Medicaid,Georgia,9/28/21,,Modifier EP and 25 should be added to the Office/Outpatient code when provided on the same day as the EPSDT Periodic visit.,,,,,,,,,,,,,,,,,,,,,,,,,,
GAMCD12,Preventive,,Payer,Medicaid,Georgia,9/28/21,,Georgia Medicaid will only allow 99211 or 99212 when provided on the same day as the EPSDT Periodic visit.,,,,,,,,,,,,,,,,,,,,,,,,,,
GAMCD13,Preventive,,Payer,Medicaid,Georgia,9/28/21,,83655 -  Providers must bill CPT code 36415 or 36416 with ICD-10 diagnosis code Z13.88 to signify blood lead level screening.,,,,,,,,,,,,,,,,,,,,,,,,,,
GAMCD14,Preventive,,Payer,Medicaid,Georgia,,,"When vaccines are administered during the interperiodic visit, code the EPSDT interperiodic visit (99201-99203, 99212-99214) with the EP and 25 modifiers. ",,,,,,,,,,,,,,,,,,,,,,,,,,
GAMCD15,Preventive,,Payer,Medicaid,Georgia,,,99173 - Use EP modifier and Z01.00 or Z01.01 or appropriate abnormal results code when performed during an interperiodic visit.,,,,,,,,,,,,,,,,,,,,,,,,,,
GAMCD16,Preventive,,Payer,Medicaid,Georgia,,,"V5008, 92551-92553, 92555-92556 - Use EP modifier and Z01.10, Z01.110 or Z01.118 or appropriate abnormal results code when performed during an interperiodic visit.",,,,,,,,,,,,,,,,,,,,,,,,,,
GAMCD17,Preventive,,Payer,Medicaid,Georgia,,,"Developmental Screening - Providers must bill code 96110 with the EP modifier and the appropriate preventive ICD-10 diagnosis code (Z00.121, Z00.129, or Z02-Z02.89) at 9, 18, and 30 months. Catch up visits should be coded with EP, HA.",,,,,,,,,,,,,,,,,,,,,,,,,,
GAMCD18,Preventive,,Payer,Medicaid,Georgia,4/3/23,,"Autism Screening - Providers must bill code 96110 with the EP,UA modifiers and Z13.41 or the applicable ICD-10 diagnosis code to receive reimbursement for the screening.",,,,,,,,,,,,,,,,,,,,,,,,,,
GAMCD19,Preventive,,Payer,Medicaid,Georgia,,,"Autism screenings should be performed at the 18 and 24 month periodic visits (or catch-up visits). Providers must bill code 96110 with the EP,UA or EP,UA,HA modifiers and Z13.41 or the applicable ICD-10 diagnosis code to receive reimbursement for the screening.",,,,,,,,,,,,,,,,,,,,,,,,,,
GAMCD2,Universal,,Payer,Medicaid,Georgia,4/3/23,,Medicaid requires authorization for Inpatient Hospital visits.,Medicaid Authorization,,,,,,,,,,,,,,,,,,,,,,,,,
