number,identifier,category,rationale
302,RHC,Commercial RHC POS,Update the Place of Service to OFFICE (11)
303,RHC,Bill Medicare Part A,RHC services are billed to Medicare Part A on UB04.
304,RHC,Medicare Labs - Independent RHC,Labs are billed to Medicare Part B on a 1500 with POS 72
305,GASTRO,49568 Add-on,"Report 49568 in addition to 11004-11006 or 49560-49566. When mesh or a prosthesis is implanted at the time of an incisional or a ventral hernia repair, report 49568 in addition to the primary procedure code."
306,TELE,Commercial Telehealth,"Review payer guidelines for proper modifier usage for telehealth claims, if applicable."
307,TELE,Telemedicine modifier ARKANSAS,Telehealth should be billed with a GT or 95 modifier in the first modifier position with POS 02
309,TELE,Tricare Telehealth,"Tricare - Use 95, GT or GQ modifier with POS 10 or 02 when submitting telehealth claims."
310,TELE,AR Medicaid,AR Medicaid - Use modifier 95 when submitting telehealth claims with POS 02 or 10.
311,TELE,Alabama BCBS,AL BCBS - Telehealth should be billed with a GT or 95 modifier.with POS 10/02
312,TELE,"GA, CO, KY, ME, MO, NV, NH, OH, VA, WI",Codes are specific to telehealth services and do not require the use of telehealth modifiers.
313,TELE,BCBS SC Telehealth,SC BCBS - Use GT or 95 modifier when submitting telehealth claims.
314,TELE,Texas BCBS,"TX BCBS - Telehealth should be billed with modifiers 95, GT, GQ and Place of Service 02. POS 10 not allowed until futher notice."
315,TELE,BCBS CA Telehealth,Use GT or GQ modifier is required when no telehealth specific code has been reported.
316,TELE,Humana Commercial,"Humana requires a provider to submit a charge for a telehealth service with modifier GT, modifier 95 or POS code 02 or 10."
317,TELE,Modifier G0,"Use modifier G0 for Telehealth services for purposes of diagnosis, evaluation, or treatment of symptoms of an acute stroke"
318,TELE,"GA, CO, KY, ME, MO, NV, NH, OH, VA, WI","Anthem BCBS requires one of the telehealth-associated modifiers GT, GQ, 95 ( audio and video) or 93 (audio only), FQ (audio only applies to Behavioral Health) to be reported when performing a service via Telehealth."
319,TELE,Place of service,Review place of service and/or payer guidelines. Telehealth modifiers may be needed on claims with place of service 10 or 02.
320,TELE,GA Medicaid Telehealth,"Add GT modifier and/or POS 02/POS 10 for Telehealth services. Modifier 93 can be appended to claim lines, as appropriate, for services furnished using audio-only communications technology. The GQ modifier is still required as applicable."
321,TELE,NA,"Do not report GT modifier (via interactive audio and video telecommunications systems) on professional claims for telehealth services. Note that for distant site services billed under Critical Access Hospital (CAH) method II oninstitutional claims, the GT modifier will still be required."
322,TELE,NA,"Humana Medicare requires a provider to submit a charge for a telehealth service with the place of service (POS) code that would have been reported had the service been furnished in person. In addition, Humana requires a provider to report a telehealth or other virtual service with modifier 93, 95 or modifier FQ as applicable, to identify that the service was furnished via telecommunications-based technology."
324,TELE,MO Medicaid,MO Medicaid - Use GT modifier when submitting telehealth claims
325,TELE,Invalid modifier for telehealth,"Review coding - 95, GT or GQ modifier is not approved for the code used. Refer to payer guidelines for assistance. Payer may extend list of approved codes during pandemic."
327,MCD:TN,NDC Requirement,Amerigroup TN requires NDC numbers on drug codes.
328,MCD:TX,Provider modifier,Medical services must be billed using AM modifier for physician services.
329,MCD:TX,NA,Physicians who submit a claim using the physician’s own provider identifier for services provided by anNP or CNS must submit modifier SA on each claim detail if the physician does not make a decisionregarding the client’s care or treatment on the same date of service as the billable medical visit
330,MCD:TX,FQHC,Child wellness visits must have EP Modifier in addition to the modifiers used to identify whoperformed the medical checkup
331,MCD:TX,NA,Place of service 72 must be used on the CMS-1500 claim form when billing for services other than general medical.
332,MCD:TX,T1015,Texas RHCs must use the encounter code T1015.
333,MCD:TX,Family Planning,Annual family planning examination requires modifier FP on the E/M code and a family planning diagnosis code
334,MCD:TX,Preventive with vaccine administration,"Append modifier 25 to the preventive E/M visit procedure code to identify a significant, separately identifiable E/M service that was rendered by the same provider on the same day as the immunization administration."
336,MCD:TX,NDC Requirement,Texas Medicaid requires NDC numbers on drug codes.
337,UNVSL,J3301 NOC,J3301 NOC - TRIAMCINOLONE ACETONIDE X UNITS AT 10 MG EACH
338,UNVSL,Pediatric BMI Age,BMI pediatric codes are for use for persons 2-19 years of age.
339,UNVSL,Medicare Primary and Secondary,Medicare should not be set as the primary and secondary insurance - review insurance settings
340,UNVSL,Medicare vs Medicare CMO,Medicare and Medicare Replacement plans should not be listed together - Review insurance settings.
341,UNVSL,Medicaid Primary and Secondary,Medicaid/Medicaid CMOs should not be set as the primary and secondary insurance - review insurance settings
342,UNVSL,Medicaid Primary,Medicaid should not be primary when reporting other payers - Review insurance settings.
343,UNVSL,TCFL Primary,Tricare for Life should not be the primary insurance - Review insurance settings.
344,UNVSL,Tricare Primary,Tricare should not be the primary insurance - Review insurance settings. Note that Tricare supplements and Medicaid plans will be secondary to Tricare.
346,ORTHO,Missing J code,"Arthrocentesis, aspiration and/or injection code is present without drug (J code). Review chart for drug used, if applicable. Add drug if clinic supplied."
347,ORTHO,Missing J code,Injection code is present without drug (J code). Review chart for drug used. Add drug if clinic supplied.
348,UNVSL,Medicare referring provider,Medicare may require the ordering/referring provider information. Add referring provider for Medicare.
349,E&M,"99221-99223, 99231-99233 Improper place of service","99221-99223, 99231-99233 should be billed with an inpatient or observation place of service. Review place of service versus inpatient/obs CPT code(s)."
350,E&M,"99304-99310,99315-99316 Improper place of service","99304-99310, 99315-99316 should be billed with place of service 31, 32, 34, 54 or 56. Review place of service versus CPT code(s)."
351,E&M,"99324-99328, 99334-99337 - Improper place of service","99324-99328 and 99334-99337 should be billed with place of service 13, 14, 33 or 55. Review place of service versus CPT codes."
352,E&M,99341-99350 - Improper place of service,"99341-99350 should be billed with place of service 12, 13, 14, 16, 33 or 55 - Review place of service versus CPT codes."
353,UNVSL,Workers Comp - NDC information,Remove NDC information for Workers Compensation claims
354,UNVSL,"99242-99245, 99252-99255 - Medicare",Medicare/Medicare Replacement plans do not reimburse consultation codes
355,UNVSL,"99242-99245, 99252-99255",Payer does not reimburse consultation codes
356,UNVSL,Medicare DME,Durable medical equipment (DME) must be billed to DMERC - Review insurance setting for DME
357,UNVSL,DME billing,Place of service should be home (12) for DME per billing guidelines
358,UNVSL,Workers Comp - DME,Send DME invoice with Workers Compensation claims
359,UNVSL,External cause codes,External cause code cannot be used as Principal/Primary Diagnosis code. Reorder diagnosis if necessary.
360,MEDSV,99211 and 95115/95117,99211 may not be separately reimbursable with allergy immunotherapy injections.
361,AUDIO,69210 - Anatomical Modifiers,Medicare considers 69210 to be bilateral. Do not use anatomical modifiers.
362,UNVSL,UHC - NDC requirement,United Healthcare requires NDC information
363,UNVSL,BMI diagnosis,BMI diagnosis code cannot be used as the principal/primary diagnosis code. Reorder diagnosis if necessary.
366,E&M,Consultation Codes - Referring Provider,Referring provider is not present for the consultation code. Add referring provider.
367,UNVSL,S Code - Non-Medicare,S codes are not reimbursed by Medicare
368,AUDIO,69209 bilateral,"Review chart - 69209 may be bilateral. If so, bill as 1 unit and double billed amount. Apply modifier 50."
369,MEDSV,96372 Units,Units should be adjusted for 96372 if medication was injected in multiple sites
370,UNVSL,Patient over age 65 with UHC,Review insurance settings. Patient is 65 years old or over. Patient may have an United Healthcare Medicare plan.
371,E&M,CPT vs POS mismatch,"99217-99219, 99224-99226 should be billed with an outpatient place of service. Review place of service versus observation CPT code(s)."
372,E&M,CPT vs POS mismatch,99234-99236 should be billed with an outpatient or inpatient facility place of service. Review place of service versus CPT code(s).
373,UNVSL,99211 with vaccine administration,"The National Correct Coding Initiative (NCCI) does not allow reimbursement of the 99211 code when it is billed together with any of the vaccine administration codes (90460, 90471, 90472, 90473, 90474, 90480, G0008, G0009, G0010, 0001A-0174A)."
374,MEDSV,99000,99000 is not covered by Medicare in any payment system.
375,E&M,99498 - Add-On Code,99498 is an add-on code. Use 99498 in conjunction with 99497.
376,MEDSV,96372,"The therapeutic or diagnostic injection (96372) is included in the evaluation/management service. Under appropriate circumstances, a 25 modifier may be required to identify distinct E/M service."
377,UNVSL,Humana Medicare,Review insurance settings. Patient is 65 years old or over. Patient may have a Humana Medicare plan.
378,E&M,"99211, 36415","Per CCI guidelines, 99211 has an unbundle relationship with 36415. Review documentation to determine if a modifier override is appropriate."
379,MEDSV,"93000, 69209","Per CCI guidelines, 93000 has an unbundle relationship with 69209. Review documentation to determine if a modifier override is appropriate."
380,E&M,"99211, 96372 Coding Alert",Please verify billing 99211 with 96372.
381,MEDSV,96372 with allergy injections,"Per CCI guidelines, 96372 has an unbundle relationship with 95115, 95117. Review medical documentation to determine if a modifier override is appropriate."
382,ICD:CM,Z01.41 Excludes 1,Encounter for routine gynecological examination (Z01.41) and gynecologic examination status-post hysterectomy for malignant condition (Z08) and/or screening cervical pap smear not a part of a routine gynecological examination (Z12.4) identify conditions that cannot be reported together except when the two conditions are unrelated per the ICD-10-CM Excludes1 note guideline.
383,UNVSL,Modifier SA,"Modifier SA should be reported with covered evaluation and management (E/M) services, rendered in collaboration with a physician and billed under the supervising physician’s NPI number, presuming the physician provided direct on-site supervision/direction."
384,UNVSL,Workers Comp,"Follow guidelines for billing electronic Workers Comp claims with records. If unable to send electronic claim, add to print doc so claim and medical records can be faxed/mailed."
385,UNVSL,51 Modifier,Medicare and most other payers do not recommend reporting Modifier 51 on your claim - review payer guidelines for reporting this modifier prior to submission.
386,MEDSV,BCBS - Injections without J codes,Anthem requires that claims for injection services performed in the office setting must include the applicable Healthcare Common Procedure Coding System (HCPCS Level II) for the injected substance. Bill J code with zero fee if patient supplied.
387,UNVSL,Drugs,Drugs may not be billable for this POS unless provided by clinic - review documentation.
388,RADIO,Fluoroscopy,Review records for appropriate modifier (26) for fluoroscopy
389,RADIO,"76942 with 20600, 20604","Ultrasonic guidance should not be reported. See 20604 - Arthrocentesis, aspiration and/or injection, small joint or bursa (eg, fingers, toes), with ultrasound guidance, with permanent recording and reporting"
390,ORTHO,"76942 with 20605, 20606","Ultrasonic guidance should not be reported. See 20606 - Arthrocentesis, aspiration and/or injection, intermediate joint or bursa (eg, temporomandibular, acromioclavicular, wrist, elbow or ankle, olecranon bursa), with ultrasound guidance, with permanent recording and reporting"
391,ORTHO,"76942 with 20610, 20611","Ultrasonic guidance should not be reported. See 20611 - Arthrocentesis, aspiration and/or injection, major joint or bursa (eg, shoulder, hip, knee, subacromial bursa), with ultrasound guidance, with permanent recording and reporting"
393,VAX,Missing administration code,"Missing administration code - 90281-90399 must be reported in addition to the administration codes 96365-96368, 96372, 96374, 96375 as appropriate."
394,VAX,90461 Add-on,Use 90461 in conjunction with 90460
395,VAX,90472 Add-on,"Use 90472 in conjunction with 90460, 90471, 90473"
396,VAX,90474 Add-on,"Use 90474 in conjunction with 90460, 90471, 90473"
397,VAX,90696 - Age,90696 is approved for children aged 4 through 6 years. Review Coding.
398,VAX,90700 - Age,90700 - Vaccine is approved for children under the age of 7. Review coding.
399,VAX,90715 - Age,90715 - Vaccine is approved for patients over the age of 7. Review coding.
400,VAX,90644 Component billing,90644 (MenCY-Hib) has 2 components. Code each component of a combination vaccine individually.
401,VAX,90696 Component billing,90696 (DTaP-IPV) has 4 components. Code each component of a combination vaccine individually.
402,VAX,Medicare Td Vaccine,The tetanus vaccine (Td) is only covered if directly related to the treatment of an injury or direct exposure. Assign injury dx instead of Z23 if applicable.
403,VAX,90697 Component billing,90697 (DTaP-IPVHib-HepB) has 6 components. Code each component of a combination vaccine individually.
404,VAX,90698 Component billing,90698 (DTaP -IPV/Hib) has 5 components. Code each component of a combination vaccine individually.
405,VAX,90700 Component billing,90700 (DTaP) has 3 components. Code each component of a combination vaccine individually.
406,VAX,90702 Component billing,90702 (DT) has 2 components. Code each component of a combination vaccine individually.
407,VAX,90707 Component billing,90707 (MMR) has 3 components. Code each component of a combination vaccine individually.
408,VAX,90710 Component billing,90710 (MMRV) has 4 components. Code each component of a combination vaccine individually.
409,VAX,90714 Component billing,90714 (Td) has 2 components. Code each component of a combination vaccine individually.
410,VAX,90715 Component billing,90715 (Tdap) has 3 components. Code each component of a combination vaccine individually.
411,VAX,90723 Component billing,90723 ((DTaP-Hep B-IPV) has 5 components. Code each component of a combination vaccine individually.
412,VAX,90748 Component billing,90748 (Hep B-Hib) has 2 components. Code each component of a combination vaccine individually.
413,VAX,"90460/90471,90473","Do not report 90460, 90471, and/or 90473 together per CPT guidelines"
414,VAX,90632 - Adult vaccine,"90632 is an adult dosage. Review coding - use 90633 for a two-dose schedule for a pediatric/adolescent dosage, and 90634 for a three-dose schedule for pediatric/adolescent dosage."
415,VAX,90658,Not covered by Medicare in any payment system and not covered by most advantage plans. Please verify the type of Flu Vaccine given.
417,VAX,Z23,Code Z23 for the administration of immunizations.
418,VAX,"90460, 90461 - Age","90460, 90461 should be used only for patients through 18 years of age."
419,VAX,G0008 - Medicare Influenza Vaccine Administration,The administration code for influenza vaccine for Medicare and most Medicare Advantage plans is G0008.
420,VAX,G0009 - Medicare Pneumococcal Vaccine Administration,The administration code for pneumococcal vaccine for Medicare and most Medicare Advantage plans is G0009.
421,VAX,G0010 - Medicare Hepatitis B Vaccine Administration,The administration code for Hepatitis B vaccine for Medicare and most Medicare Advantage plans is G0010.
422,VAX,Missing administration code,"Missing vaccine administration code - The vaccine/toxoid product codes 90476-90756, 9913* must be used in addition to an immunization administration code(s) 90460-90474, 90480, G0008, G0009, G0010"
423,VAX,Missing vaccine code,"Missing vaccine code - The vaccine/toxoid product codes 90476-90756, 913* must be used in addition to an immunization administration code(s) 90460-90474, 90480, G0008, G0009, G0010"
424,MCD:WA,Hospital services - RHC,Hospital based services are not encounter-eligible. Covered services will be paid as fee-for-service and should not be billed with a T1015 encounter code.
425,MCD:WA,Hearing exams - RHC,Hearing exams should be bundled with a RHC encounter.
426,MCD:WA,"Diagnostic tests, such as x-rays and EKGs","Diagnostic tests, such as x-rays and EKGs should be billed with technical and professional components."
427,MCD:WA,X-rays - RHC,X-rays should be billed with technical and professional components. Professional components (-26) should be bundled with RHC encounter. Technical components (-TC) are separately reimbursable.
428,MCD:WA,"Diagnostic tests, EKGs - RHC",EKGs should be billed with technical and professional components. Split claim for the technical (93005) and professional component (93010).
429,MCD:WA,"Diagnostic tests, EKGs - RHC",Professional components of EKGs should be bundled with a RHC encounter.
430,MCD:WA,Labs RHC,"Clinical diagnostic laboratory services, including laboratory tests required for RHC certification are separately reimbursable."
431,MCD:WA,Venipuncture/Blood Draws RHC,Venipuncture/Blood Draws are bundled with RHC encounters.
432,MCD:WA,RHC - Administration fees for drugs and vaccines given in the provider’s office,Administration fees for drugs and vaccines given in the provider’s office are bundled with RHC encounters.
433,MCD:WA,Collaborative Care,Collaborative Care (G0512) is bundled with a RHC encounter.
434,MCD:WA,Vaccine Admin - Children/Non-Facility,DO NOT bill procedure codes 90471-90472 or 90460-90461 for the administration of vaccines for children.
435,MCD:WA,G codes in the defined range,"G codes in the defined range (G0008-G9140) are bundled with a RHC encounter. (Exception: G0101 is encounter eligible effective January 1, 2018.)"
436,MCD:WA,Children Vaccines - Nonfacility,"Bill for the administration by reporting the procedure code for the vaccine given with modifier SL (e.g. 90707 SL). The agency pays for the administration for those vaccines that are free from DOH and are billed with modifier SL (e.g., 90707 SL)."
437,MCD:WA,J codes - RHC,All J Codes should be bundled with an encounter.
438,MCD:WA,IUD Supply Codes - RHC,IUD Supply Codes are separately reimbursable as fee-for-service - do not bundle with encounter.
439,MCD:WA,Durable medical equipment (rented or purchased) - RHC,Durable medical equipment (rented or purchased) is separately reimbursable as fee-for-service - do not bundle with encounter.
440,MCD:WA,Primary claim type - RHC,Primary WA Medicaid is billed on 1500 claim form.
441,MCD:WA,Medicare/Medicaid crossover - RHC,Medicare/Medicaid crossover claims are billed on UB-04.
442,MCD:WA,T1015,RHC encounters are billed with T1015-$0.00 and CPT codes with fees attached.
443,MCD:WA,Family planning services - RHC,Family planning services should be bundled with a RHC encounter.
444,UNVSL,Lidocaine,Lidocaine (J2001) is inclusive and should not be billed separately. This code is only billed when given via IV for cardiac arrythmias.
445,INTEG,Treatment of Lesions: Injection,"Treatment of Lesions: Injection code is present without drug (J code). Review chart for drug used, if applicable. Add drug if clinic supplied."
446,INTEG,17003 primary px,17003 is missing the primary procedure code. Report 17000 for the first lesion AND 17003 for the 2nd-14th lesions. Change units for 17003 based on additional number of lesions treated.
447,MCD:AL,NA,"Providers who send specimens to independent laboratories for analysis may bill a collection fee. Providers should use procedure code 36415-90 for routine venipuncture collection, 36416-90 for collection of capillary blood specimen (e.g., finger, heel, ear stick) and Q0091-90 for collection of Pap smear specimen."
448,ICD:CM,Z01.41 Excludes 1,Encounter for routine gynecological examination (Z01.41) and gynecologic examination status-post hysterectomy for malignant condition (Z08) and/or screening cervical pap smear not a part of a routine gynecological examination (Z12.4) identify conditions that cannot be reported together except when the two conditions are unrelated per the ICD-10-CM Excludes1 note guideline.
449,UNVSL,G0506 Add-on code,G0506 is missing the primary procedure code.
451,ASC,Claims Type - ASC,Ambulatory surgical center claims are filed to Medicare on a 1500 claim form.
452,ASC,Modifier 26,The professional component should not be reported on an ASC claim. Review 26 modifier. TC should be reported instead for the Technical Component if applicable.
453,ASC,Claims Type - ASC,Ambulatory surgical center claims are filed to commercial payers on an UB-04.
454,VAX,Flu vaccine,"Flu vaccine product is approved for patients aged 65 years and older, verify coding."
455,MCD:AL,EP modifiers,"EP modifiers are used when billing initial, periodic and interperiodic screenings. EP modifier should also be assigned to hearing and vision screenings."
456,ICD:CM,K21 Gastro-esophageal disease excludes 1 note,Use P78.83 for reflux in patients 28 days old or less
457,ICD:CM,R17 Excludes 1 notes,"See P55-P55.9, P57-P59.9 for Jaundice in patients 28 days old or less"
458,E&M,"99460,99462,99463 Improper place of service","99460, 99462, 99463 should be billed with POS 21, 22 or 25. Review place of service versus CPT code(s)."
459,ICD:CM,R11-R11.2 excludes 1 note,See P92.01-P92.09 for vomiting in patients 28 days old or less
460,TELE,Modifier 95,Modifier 95 may only be appended to the services listed in Appendix P. Review usage of modifier 95. Some payers may have different policies.
461,TELE,Q3014,POS code 02 and 10 does not apply to originating site facilities billing a facility fee with code Q3014. Review place of service code and payer guidelines.
462,TELE,BCBS Washington,"Washington BCBS telehealth visit should be billed with POS 02 or 10. Append appropriate modifier: 95, 93, GT, GQ, FQ"
463,UNVSL,Code check - Modifier,Improper or invalid modifier is present - review for proper modifier usage.
464,UNVSL,Code check - Age Alert,Code(s) used is not appropriate for the age of the patient - review coding.
465,UNVSL,Code Check - Gender Alert,Gender alert is present. Review coding versus gender of the patient.
469,UNVSL,Code Check - Expired dx,Review coding for expired DX.
470,UNVSL,Code Check - Expired CPT,Review coding for expired CPT.
472,TELE,SC Medicaid Telehealth,Use modifier GT for telehealth visits.
474,TELE,NA,Modifier GT must be appended to the CPT or HCPCS code to indicate that a service has been provided via interactive audio-visual communication. This modifier is not appropriate for services performed telephonically or through email or patient portal.
475,VAX,Covid-19: NC Medicaid Telehealth,COVID-19 #34: Telehealth Provisions - Modifier CR (catastrophe/disaster related) must be appended to all claims for CPT and HCPCS codes listed in this policy to relax frequency limitations defined in code definitions.
476,ICD:CM,R50.81 Fever presenting with conditions classified elsewhere,"R50.81 cannot be billed as primary dx. Code first underlying condition when associated fever is present, such as with: leukemia (C91-C95), neutropenia (D70.-), or sickle-cell disease (D57.-)."
477,TELE,BCBS NC Telehealth,"Use of Modifier GT (Interactive audio/video telecommunications systems), Modifier 95 (Synchronous real-time audio/video), Modifier 93 (Synchronous real-time audio only) or Modifier FQ (Audio-only communication technology) with POS 02 or 10."
478,VAX,BCBS NC Telehealth,"To report audio/telephone only visits, append modifier 93 or FQ with place of service 02 or 10."
480,VAX,COVID-19: BCBS NC Telehealth,"For Online digital evaluation and management encounters for ESTABLISHED patients, report CPT® 99421-99423 with POS 02 or 10."
481,TELE,Aetna Commercial Telehealth,"When a provider reports modifier GT or 95, it certifies the patient received services via an audiovisual telecommunications system."
482,TELE,Aetna Telehealth,"Modifier GT, 95 is not required to identify telehealth specific codes."
483,TELE,BCBS Oregon Telehealth,"Use POS 02 or 10 and modifier GT for audio and video visits.Claims for audio-only telehealth services must have modifier FQ appended, in addition to modifier GT."
484,TELE,Telehealth Radiology,Telehealth Radiology interpretations. Claims should be billed with modifier 26.
487,VAX,Florida Blue COVID-19 Telehealth,Telehealth needs to be billed with a GT or 95 modifier with POS 10 or 02.
488,TELE,Virtual Check-in/Online Visit -,"Review payer guidelines: 99421-3, G2010, G2012 should be reported with the office POS code for virtual check-in/online visit unless otherwise stated by payer."
489,TELE,9944* place of service -,Review payer guidelines: 99441-3 may need to be reported with POS 02 or 10 for telephone evaluation and management services unless otherwise stated by payer.
490,TELE,NA,"Bill telehealth services to Sunshine Health without the use of modifiers GT, 95, 93, CR with POS 02"
491,VAX,FL Medicaid COVID19 -,Store-and-Forward & Remote Patient Monitoring require modifier CR.
492,VAX,FL Medicaid -,Telephone Communications for New Patients require modifier CG in the first modifier position.
493,VAX,Medicare Telehealth POS -,"Use the place of service where the provider would normally have performed the visit if the patient had been seen face-to-face (e.g. 11 or 22), NOT POS 02 or 10 for all CMS telehealth and telephone services."
494,VAX,Medicare Telehealth Modifier -,Append modifier 95 (Real-Time Interactive Audio and Video) or 93 (Audio only) for all telehealth services on Medicare claims. .
495,VAX,NA,BCBS AL Codes should be billed with Place of Service Code 10 or 02 – Telehealth. No telehealth modifier is required at this time.
496,VAX,NA,BCBS AL Codes should be billed with Place of Service Code 10 or 02 – Telehealth. No telehealth modifier is required at this time.
498,VAX,NA,"For Regenece BCBS - Telehealth should be billed with POS 02 or 10, as appropriate and modifier GT. If audio-only, also assign FQ modifier in addition to GT."
499,UNVSL,Zurich Workers Comp,"Follow Workers Comp billing guidelines for electronic claims attachments. If unsuccessful, claims can be faxed to 874-240-8172."
500,UNVSL,Summit Fax,Follow Workers Comp billing guidelines for electronic claims attachments.To submit bills via fax: 863-667-1871
501,UNVSL,Liberty Mutual fax/portal,"For WC claims: Follow Workers Comp billing guidelines for electronic claims attachments. If unsuccessful, Fax claims to 888-925-8391 Attn: Bill Review or use the portal at https://www.libertymutualprovidersupport.com"
502,UNVSL,Great American Insurance,Follow Workers Comp billing guidelines for electronic claims attachments. Claims can be faxed to 855-277-6359.
503,VAX,COVID19 Self-pay,"On March 22, 2022 at 11:59 pm ET, the HRSA COVID-19 Uninsured Program will stop accepting claims for testing and treatment due to lack of sufficient funds. On April 5, 2022 at 11:59 pm ET, the HRSA COVID-19 Uninsured Program will also stop accepting vaccination claims due to a lack of sufficient funds. For more information, please see the HRSA website."
504,VAX,Medicare CS,Append modifier CS for specified COVID-19 testing-related services that result in an order for or administration of a COVID-19 test on applicable claim lines to identify the service as subject to the cost-sharing wavier for COVID-19 testing-related services.
505,RHC,NA,"Use G0071 to receive payment for the new online digital evaluation and management (CPT codes 99421, 99422, and 99423) or virtual communication services (HCPCS codes G2012 and G2010). Do not use CG modifier."
506,FQHC,NA,Use G0071 for virtual communication services (HCPCS codes G2012 and G2010). Do not use CG modifier.
507,SURG,GYN,"58559 is inclusive to 58558 unless severe adhesions substantially increase operative time, additional reimbursement may be warranted."
508,SURG,GYN,"58558 is not recommended for separate reimbursement when submitted with 58560. When similar or identical procedures are performed, but are qualified by an increased level of complexity, only the definitive, or most comprehensive, service performed should be reported. This logic is supported by the CMS guideline for More Extensive Procedure found in the National Correct Coding Policy Manual for Part B Medicare Carriers, Chapter I that states, ... the less complex service is included in the more complex service and is not separately reportable."
509,SURG,GYN,"58559 is inclusive to 58560. If during the performance of a surgical hysteroscopy with resection of an intrauterine septum, it is deemed medically necessary or advantageous to remove intrauterine adhesions, then the lysis of adhesions is considered an integral component to the successful completion of the primary procedure and does not warrant separate reimbursement Therefore, procedure 58559 is not recommended for separate reimbursement when submitted with procedure 58560."
510,SURG,Modifier 73 and 74,Modifier 73 and 74 are for facility billing only. Physician reporting of a discontinued procedure should be billed with a 53 modifier.
511,LABS,80047 Basic Metabolic panel,"80047 Basic metabolic panel (Calcium, ionized) may be reported rather than individual CPTs. This panel must include the following: Calcium, ionized (82330) Carbon dioxide (bicarbonate) (82374) Chloride (82435) Creatinine (82565). Review payer guidelines."
512,LABS,80048 Basic Metabolic Panel,"80048 Basic metabolic panel (Calcium, total) may be reported rather than individual CPTs. This panel must include the following: Calcium, total (82310) Carbon dioxide (bicarbonate) (82374) Chloride (82435) Creatinine (82565). Review payer guidelines."
513,LABS,80051 Electrolyte panel,80051 Electrolyte panel may be reported rather than individual CPTs. This panel must include the following: Carbon dioxide (bicarbonate) (82374) Chloride (82435) Potassium (84132) Sodium (84295). Review payer guidelines.
514,LABS,80053 Comprehensive metabolic panel,"80053 Comprehensive metabolic panel may be reported rather than individual CPTs. This panel must include the following: Albumin (82040) Bilirubin, total (82247) Calcium, total (82310) Carbon dioxide (bicarbonate) (82374) Chloride (82435) Creatinine (82565) Glucose (82947) Phosphatase, alkaline (84075) Potassium (84132) Protein, total (84155) Sodium (84295) Transferase, alanine amino (ALT) (SGPT) (84460) Transferase, aspartate amino (AST) (SGOT) (84450) Urea nitrogen (BUN) (84520). Review payer guidelines."
515,LABS,80061 Lipid Panel,"80061 Lipid panel may be reported rather than individual CPTs. This panel must include the following: Cholesterol, serum, total (82465) Lipoprotein, direct measurement, high density cholesterol (HDL cholesterol) (83718) Triglycerides (84478). Review payer guidelines."
516,LABS,80069 Renal function panel,"80069 Renal function panel may be reported rather than individual CPTs. This panel must include the following: Albumin (82040) Calcium, total (82310) Carbon dioxide (bicarbonate) (82374) Chloride (82435) Creatinine (82565) Glucose (82947) Phosphorus inorganic (phosphate) (84100) Potassium (84132) Sodium (84295) Urea nitrogen (BUN) (84520). Review payer guidelines."
517,LABS,80074 Acute hepatitis panel,"80074 Acute hepatitis panel may be reported rather than individual CPTs. This panel must include the following: Hepatitis A antibody (HAAb), IgM antibody (86709) Hepatitis B core antibody (HBcAb), IgM antibody (86705) Hepatitis B surface antigen (HBsAg) (87340) Hepatitis C antibody (86803). Review payer guidelines."
518,LABS,80076 Hepatic function panel,"80076 Hepatic function panel may be reported rather than individual CPTs. This panel must include the following: Albumin (82040) Bilirubin, total (82247) Bilirubin, direct (82248) Phosphatase, alkaline (84075) Protein, total (84155) Transferase, alanine amino (ALT) (SGPT) (84460) Transferase, aspartate amino (AST) (SGOT) (84450). Review payer guidelines."
519,ANES,Anesthesia modifiers,"Edits indicate that HCPCS anesthesia modifiers (e.g., modifiers AA, AD, G8, G9, QK, QS, QX, QY, & QZ) may be appended to anesthesia codes 00100-01999."
520,ANES,Physical status modifiers,Edits indicate that physical status modifiers P1-P6 may be appended to anesthesia codes 00100-01999 after the pricing modifier.
521,ICD:CM,"F01-F99 - Chapter 5: Mental, Behavioral and Neurodevelopmental disorders","Review diagnosis versus patients age. F91.3 Oppositional defiant disorder (ODD) is an illness where a child, for at least a six-month period, exhibits frequent loss of his or her temper, refuses or defies compliance with rules, argues with adults, blames others for misbehavior, is angry, spiteful, and/or vindictive."
522,BCBS:SC,NA,"BlueCross requires the reporting of the NDC, NDC unit of measure and NDC quantity for all outpatient-administered drug claims."
523,MCD:SC,NA,"Medicaid requires providers billing for physician-administered drugs in an office, a clinic, or other OP setting to report the NDC when using a drug-related HCPCS code."
524,LABS,"Review diagnosis coding. Codes are listed on the encounter that are never covered by Medicare for a diagnostic lab testing service. If a code from this section is given as the reason for the test, the test may be billed to the Medicare beneficiary without billing Medicare first because the service is not covered by statute, in most instances because it is performed for screening purposes and is not within an exception. The beneficiary, however, does have a right to have the claim submitted to Medicare, upon request.",Review diagnosis code assignments. Codes are listed on the encounter that are never covered by Medicare for a diagnostic lab.
525,UNVSL,Medicare - Modifier 50,"For services with a bilateral indicator of 3, modifier 50 and a quantity of 2 should be reported."
526,MEDSV,99001 Medicare,99001 (Handling and/or conveyance of specimen for transfer from the patient in other than an office to a laboratory (distance may be indicated)) is not covered by Medicare in any payment system.
